Id,Predicted
1,-107.049598051486
2,-141.27828148550753
3,-4303.523609593669
4,-1728.8856643844113
5,-1163.2122808961042
6,-582.1996683881598
7,-128.00760170235543
8,-835.9681533473466
9,-2019.7137162634122
10,-501.9286929596887
11,-951.1479637935809
12,-127.97104225858368
13,-2363.0124635993093
14,-2184.223763441912
15,-5235.591210001808
16,-64.51062682848074
17,-1391.4585156372516
18,-233.60665211525716
19,-2048.727885451456
20,-6768.775478599016
21,-5998.04040522206
22,-6278.35215363858
23,-126.79859867756784
24,-106.77316894223937
25,-115.81048384671533
26,-375.65437426015814
27,-554.5617929669512
28,-55.870192351569344
29,-3014.003701252041
30,-65.52011759587646
31,-18694.606609205337
32,-2909.125614910375
33,-2142.704950617017
34,-0.29501939000717087
35,-68.6867582987305
36,-359.59071973873665
37,-3429.4335308651207
38,-7729.806163578429
39,-2452.2208893164748
40,-2555.6587239446994
41,-1607.6146359587806
42,-6008.7577899654725
43,-172.03212853118455
44,-2146.697229324738
45,-2934.7780958028634
46,-5712.085770095869
47,-3568.0636417289215
48,-5364.085790769486
49,-399.9678548335583
50,-5096.393033786128
51,-34.32513545717086
52,-118.12168347476643
53,-2503.4881751598305
54,-72.41073438783012
55,-90.30068020977077
56,-8580.889713846365
57,-1604.1993903444982
58,-2081.1779831716012
59,-81.05707174731751
60,-320.86454558774966
61,-7048.663178948528
62,-1933.5627298965915
63,-248.85174899877754
64,-2077.5533979884176
65,-2390.5750405682447
66,-188.56240578301723
67,-155.50027966599893
68,-181.64510213459985
69,-3276.171048726162
70,-20151.34135958769
71,-6974.902934175278
72,-861.100009974888
73,-1973.428718380663
74,-2804.94877346892
75,-81.3053944373179
76,-255.72027148754077
77,-123.29508160697542
78,-1581.0714745030803
79,-48.0957239649658
80,-3854.401148980528
81,-42.67806840613167
82,-1797.2430214462934
83,-637.6553267247051
84,-591.7818803758636
85,-226.3667619054606
86,-22183.556835170355
87,-73.13971492571795
88,-338.0671445610161
89,-1043.555465037531
90,-1817.3336790199837
91,-2638.0214625433596
92,-20620.81454551178
93,-1423.2486743150519
94,-6257.235860913345
95,-1736.6636937539859
96,-15.388149725216037
97,-1987.2819856162537
98,-222.1035774979596
99,-1217.1801286240438
100,-156.18612042755922
101,-878.9525237947529
102,-1250.4952996629672
103,-86.25837525783135
104,-96.51980228815967
105,-1282.7718362420324
106,-2435.5048668622853
107,-8691.333075635215
108,-14.097195800011391
109,-87.55269854260904
110,-2841.791747737659
111,-1528.787811059018
112,-71.34012258285661
113,-0.5280221394629744
114,-69.04557675807801
115,-299.7234484153811
116,-2147.291058873358
117,-851.2755079289492
